name,location,price,rating,quality,review,bed,size,distance_from_center,room_type,nights,adults,free_cancellation
Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 2 adults,
Ok Hostel Madrid,"Centro, Madrid","IRR 6,215,459",8.9,Fabulous,"11,172 reviews",2 bunk beds,,0.7,Classic Quadruple Room,1 night, 2 adults,
Madrid Marriott Auditorium Hotel & Conference Center,"San Blas, Madrid","IRR 8,556,268",8.8,Fabulous,"5,569 reviews",1 extra-large double bed,,12.8,Premium King Room,1 night, 2 adults,
Cava Baja Suites 1,"Centro, Madrid","IRR 6,720,465",9.5,Exceptional,58 reviews,"2 beds (1 double, 1 sofa bed)",27m²,0.6,Superior Studio,1 night, 2 adults,
NH Madrid Ribera del Manzanares,"Arganzuela, Madrid","IRR 7,689,628",8.5,Very good,"4,014 reviews",Multiple bed types,,1.9,Standard Double or Twin Room,1 night, 2 adults,
Compostela Suites,"San Blas, Madrid","IRR 4,004,806",7.8,Good,"5,365 reviews",1 double bed,37m²,11,One-Bedroom Apartment (2 Adults),1 night, 2 adults,
Relais & Châteaux Heritage Hotel,"Salamanca, Madrid","IRR 16,763,316",9.2,Superb,814 reviews,Beds: 1 double or 2 singles,,2.9,Classic Interior Double Room,1 night, 2 adults,
Cava Baja Suites 2,"Centro, Madrid","IRR 7,762,115",9.6,Exceptional,78 reviews,"2 beds (1 double, 1 sofa bed)",46m²,0.6,Deluxe Studio,1 night, 2 adults,
"Radisson Blu Hotel, Madrid Prado","Centro, Madrid","IRR 17,861,434",8.7,Fabulous,"2,184 reviews",Beds: 1 double or 2 singles,,0.9,Standard Room,1 night, 2 adults,Free cancellation
LaNave,"Moncloa-Aravaca, Madrid","IRR 7,173,809",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 2 adults,
Hyatt Centric Gran Via Madrid,"Centro, Madrid","IRR 19,183,020",8.9,Fabulous,"2,751 reviews",,,350,King Room with View,1 night, 2 adults,
Vincci Vía - 66,"Centro, Madrid","IRR 11,453,744",8.5,Very good,"7,255 reviews",Beds: 1 double or 2 singles,,0.8,Standard Double or Twin Room,1 night, 2 adults,
Axor Feria,"San Blas, Madrid","IRR 9,251,101",8.4,Very good,"6,731 reviews",Beds: 1 double or 2 singles,,10.8,Double Room with free airport shuttle,1 night, 2 adults,
Santa Cruz,"Centro, Madrid","IRR 13,696,436",8.8,Fabulous,33 reviews,"2 beds (1 single, 1 double)",,250,Triple Room with Private Bathroom,1 night, 2 adults,
Gran Central Suites,"Centro, Madrid","IRR 6,401,682",8,Very good,"2,702 reviews","2 beds (1 double, 1 sofa bed)",32m²,0.9,Superior Apartment,1 night, 2 adults,
JC Rooms Santo Domingo,"Centro, Madrid","IRR 5,847,016",7.8,Good,"3,354 reviews",Beds: 1 double or 2 singles,,0.6,Executive Double or Twin Room,1 night, 2 adults,
Senator Barajas,"Barajas, Madrid","IRR 7,529,035",7.7,Good,"10,739 reviews",2 single beds,,11.3,Double Room,1 night, 2 adults,
Zleep Madrid Airport,"San Blas, Madrid","IRR 6,367,641",8.3,Very good,"5,411 reviews",1 extra-large double bed,,13.5,Standard Double Room,1 night, 2 adults,
AP Embajadores X,"Arganzuela, Madrid","IRR 3,872,247",8.4,Very good,51 reviews,2 double beds,45m²,1.4,Deluxe Apartment,1 night, 2 adults,
TaCH Madrid Airport,"Barajas, Madrid","IRR 12,014,417",8.5,Very good,"8,372 reviews",Beds: 1 double or 2 singles,,11.8,Double or Twin Room,1 night, 2 adults,Free cancellation
Hotel Pinar Plaza,"Ciudad Lineal, Madrid","IRR 9,611,534",8.7,Fabulous,424 reviews,1 large double bed,,7.8,Standard Double Room,1 night, 2 adults,
UMusic Hotel Madrid,"Centro, Madrid","IRR 16,019,223",8.9,Fabulous,"2,327 reviews",1 large double bed,,150,Deluxe Guest Room,1 night, 2 adults,
Cava Baja Suites 1,"Centro, Madrid","IRR 7,467,361",9.5,Exceptional,58 reviews,"2 beds (1 double, 1 sofa bed)",27m²,0.6,Superior Studio,1 night, 2 adults,
Ok Hostel Madrid,"Centro, Madrid","IRR 6,215,459",8.9,Fabulous,"11,172 reviews",2 bunk beds,,0.7,Classic Quadruple Room,1 night, 2 adults,
Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 2 adults,
Cava Baja Suites 2,"Centro, Madrid","IRR 8,624,750",9.6,Exceptional,78 reviews,"2 beds (1 double, 1 sofa bed)",46m²,0.6,Deluxe Studio,1 night, 2 adults,
Hostal Flat55Madrid,"Centro, Madrid","IRR 2,993,592",8.2,Very good,252 reviews,1 double bed,,1.1,Small Double Room with Shared Bathroom,1 night, 2 adults,
Hostal PETITE MAMAN,"Centro, Madrid","IRR 3,880,657",7.7,Good,"2,291 reviews",Multiple bed types,,300,Superior Triple Room,1 night, 2 adults,
Axor Barajas,"San Blas, Madrid","IRR 10,512,615",8.6,Fabulous,"5,006 reviews",Beds: 1 double or 2 singles,,10.8,Double or Twin Room with free airport shuttle,1 night, 2 adults,
Zleep Madrid Airport,"San Blas, Madrid","IRR 6,367,641",8.3,Very good,"5,411 reviews",1 extra-large double bed,,13.5,Standard Double Room,1 night, 2 adults,
Hostal Asunción,"Centro, Madrid","IRR 3,424,109",6.9,Review score,"2,901 reviews","3 beds (2 singles, 1 double)",,1.3,Quadruple Room,1 night, 2 adults,
LaNave,"Moncloa-Aravaca, Madrid","IRR 7,970,765",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 2 adults,
Santa Cruz,"Centro, Madrid","IRR 15,218,262",8.8,Fabulous,33 reviews,"2 beds (1 single, 1 double)",,250,Triple Room with Private Bathroom,1 night, 2 adults,
Compostela Suites,"San Blas, Madrid","IRR 4,004,806",7.8,Good,"5,365 reviews",1 double bed,37m²,11,One-Bedroom Apartment (2 Adults),1 night, 2 adults,
Relais & Châteaux Heritage Hotel,"Salamanca, Madrid","IRR 16,763,316",9.2,Superb,814 reviews,Beds: 1 double or 2 singles,,2.9,Classic Interior Double Room,1 night, 2 adults,
Luz Madrid Rooms,"Centro, Madrid","IRR 7,809,371",8.2,Very good,"1,124 reviews",Beds: 1 double or 2 singles,,450,Superior Double or Twin Room,1 night, 2 adults,
Far Home Plaza Mayor,"Centro, Madrid","IRR 3,868,642",7.6,Good,"1,609 reviews",2 single beds,,450,Double Room with Shower,1 night, 2 adults,
JC Rooms Santo Domingo,"Centro, Madrid","IRR 5,847,016",7.8,Good,"3,354 reviews",Beds: 1 double or 2 singles,,0.6,Executive Double or Twin Room,1 night, 2 adults,
Hyatt Centric Gran Via Madrid,"Centro, Madrid","IRR 19,183,020",8.9,Fabulous,"2,751 reviews",,,350,King Room with View,1 night, 2 adults,
Hotel Mora by MIJ,"Centro, Madrid","IRR 6,657,990",8,Very good,"4,114 reviews",Beds: 1 double or 2 singles,,1.1,Twin Room,1 night, 2 adults,
Gem Langham Court Hotel,"Westminster Borough, London","IRR 8,257,636",7.1,Good,"3,154 reviews",1 double bed,,1.6,Double Room,1 night, 2 adults,
Tony's House Hotel,"Westminster Borough, London","IRR 6,443,929",6.1,Review score,"1,491 reviews","2 beds (1 single, 1 double)",,3.3,Family Room (3 Adults),1 night, 2 adults,
Tran UK Homestay,"Newham, London","IRR 2,972,674",6.2,Review score,17 reviews,1 double bed,,9.9,Double Room,1 night, 2 adults,
"Stylish Studio Apartments, Willesden","Brent, London","IRR 3,774,637",6.9,Review score,16 reviews,1 double bed,30m²,9.9,Deluxe Studio,1 night, 2 adults,
Royal London Apartments,"Islington, London","IRR 7,525,756",7.9,Good,214 reviews,"3 beds (2 doubles, 1 sofa bed)",60m²,2.2,Two-Bedroom Apartment,1 night, 2 adults,
Jubilee Rooms 15 Minutes Central London,"Brent, London","IRR 4,233,238",7.6,Good,11 reviews,"2 beds (1 single, 1 double)",,8.2,Comfort Triple Room,1 night, 2 adults,
Centra Studios,London,"IRR 4,780,736",8.9,Fabulous,299 reviews,1 double bed,25m²,9.7,King Studio,1 night, 2 adults,
Modern Appartment,"Hackney, London","IRR 3,598,252",7.9,Good,35 reviews,1 double bed,,6.1,Double Room with Garden View,1 night, 2 adults,
Britannia International Hotel Canary Wharf,"Tower Hamlets, London","IRR 3,245,482",5.7,Review score,"20,899 reviews",1 double bed,,7.2,Standard Double Room without Window,1 night, 2 adults,Free cancellation
Hilton London Kensington Hotel,"Kensington and Chelsea, London","IRR 5,691,353",7,Good,"4,317 reviews",1 double bed,,6,Double Room,1 night, 2 adults,
London Court Hotel,"Kensington and Chelsea, London","IRR 3,762,878",8,Very good,"1,689 reviews",2 single beds,,4.9,"Classic Twin Room, with en suite",1 night, 2 adults,
Rockwell East-Tower Bridge,"Tower Hamlets, London","IRR 4,656,562",8.3,Very good,"3,060 reviews",1 large double bed,32m²,3.8,Double Studio,1 night, 2 adults,
The Grand M London city,"Tower Hamlets, London","IRR 2,351,799",7.6,Good,499 reviews,1 double bed,,4.1,Deluxe Double Room,1 night, 2 adults,
Canopy Aldgate,"Tower Hamlets, London","IRR 2,234,209",6.9,Review score,234 reviews,1 double bed,,4.1,Double Room with Shared Toilet,1 night, 2 adults,
"Radisson Blu New Providence Wharf Hotel, London","Tower Hamlets, London","IRR 7,760,936",8.8,Fabulous,"7,954 reviews",Beds: 1 double or 2 singles,,8.5,Superior King or Twin Room,1 night, 2 adults,Free cancellation
Piccolino Hyde Park Hotel,"Westminster Borough, London","IRR 3,598,252",6.7,Review score,"1,681 reviews",2 single beds,,3.2,Standard Twin Room,1 night, 2 adults,
Park Avenue Inn Craven London Hyde Park,"Westminster Borough, London","IRR 3,344,258",4.7,Review score,"3,987 reviews",1 double bed,,3.6,Double Room,1 night, 2 adults,
Sonder The Gilbert,"Kensington and Chelsea, London","IRR 3,884,701",8.1,Very good,130 reviews,1 double bed,,4.4,Double Room,1 night, 2 adults,
Umbrella Properties London Excel,"Newham, London","IRR 1,552,187",7.3,Good,441 reviews,1 extra-large double bed,,9.5,Double Room,1 night, 2 adults,
Park Grand Paddington Court,"Westminster Borough, London","IRR 5,557,300",7,Good,"7,541 reviews",1 double bed,,3.7,Deluxe Double Room,1 night, 2 adults,
ARK Canary Wharf,"Tower Hamlets, London","IRR 5,173,957",7.3,Good,"2,348 reviews",1 double bed,16m²,7.9,Classic Studio,1 night, 2 adults,
Nobu Hotel London Portman Square,"Westminster Borough, London","IRR 19,237,714",8.6,Fabulous,"1,686 reviews",1 extra-large double bed,,2.3,Superior King Room,1 night, 2 adults,
Ivy House Hotel,"Westminster Borough, London","IRR 3,047,931",6.1,Review score,998 reviews,1 double bed,,2.1,Double Room with Shared Bathroom,1 night, 2 adults,
Tony's House Hotel,"Westminster Borough, London","IRR 6,443,929",6.1,Review score,"1,491 reviews","2 beds (1 single, 1 double)",,3.3,Family Room (3 Adults),1 night, 2 adults,
Tran UK Homestay,"Newham, London","IRR 2,972,674",6.2,Review score,17 reviews,1 double bed,,9.9,Double Room,1 night, 2 adults,
"Stylish Studio Apartments, Willesden","Brent, London","IRR 3,774,637",6.9,Review score,16 reviews,1 double bed,30m²,9.9,Deluxe Studio,1 night, 2 adults,
Royal London Apartments,"Islington, London","IRR 7,525,756",7.9,Good,214 reviews,"3 beds (2 doubles, 1 sofa bed)",60m²,2.2,Two-Bedroom Apartment,1 night, 2 adults,
Jubilee Rooms 15 Minutes Central London,"Brent, London","IRR 4,233,238",7.6,Good,11 reviews,"2 beds (1 single, 1 double)",,8.2,Comfort Triple Room,1 night, 2 adults,
Centra Studios,London,"IRR 4,780,736",8.9,Fabulous,299 reviews,1 double bed,25m²,9.7,King Studio,1 night, 2 adults,
Modern Appartment,"Hackney, London","IRR 3,598,252",7.9,Good,35 reviews,1 double bed,,6.1,Double Room with Garden View,1 night, 2 adults,
Britannia International Hotel Canary Wharf,"Tower Hamlets, London","IRR 3,245,482",5.7,Review score,"20,899 reviews",1 double bed,,7.2,Standard Double Room without Window,1 night, 2 adults,Free cancellation
Nobu Hotel London Portman Square,"Westminster Borough, London","IRR 19,237,714",8.6,Fabulous,"1,686 reviews",1 extra-large double bed,,2.3,Superior King Room,1 night, 2 adults,
ME London by Melia - Covent Garden,"Westminster Borough, London","IRR 16,180,846",8.5,Very good,"1,639 reviews",1 extra-large double bed,,0.8,Always ME,1 night, 2 adults,
Gem Langham Court Hotel,"Westminster Borough, London","IRR 8,257,636",7.1,Good,"3,154 reviews",1 double bed,,1.6,Double Room,1 night, 2 adults,
Britannia International Hotel Canary Wharf,"Tower Hamlets, London","IRR 3,245,482",5.7,Review score,"20,899 reviews",1 double bed,,7.2,Standard Double Room without Window,1 night, 2 adults,Free cancellation
Hilton London Kensington Hotel,"Kensington and Chelsea, London","IRR 5,691,353",7,Good,"4,317 reviews",1 double bed,,6,Double Room,1 night, 2 adults,
London Court Hotel,"Kensington and Chelsea, London","IRR 3,762,878",8,Very good,"1,689 reviews",2 single beds,,4.9,"Classic Twin Room, with en suite",1 night, 2 adults,
Rockwell East-Tower Bridge,"Tower Hamlets, London","IRR 4,656,562",8.3,Very good,"3,060 reviews",1 large double bed,32m²,3.8,Double Studio,1 night, 2 adults,
The Grand M London city,"Tower Hamlets, London","IRR 2,351,799",7.6,Good,499 reviews,1 double bed,,4.1,Deluxe Double Room,1 night, 2 adults,
Canopy Aldgate,"Tower Hamlets, London","IRR 2,234,209",6.9,Review score,234 reviews,1 double bed,,4.1,Double Room with Shared Toilet,1 night, 2 adults,
"Radisson Blu New Providence Wharf Hotel, London","Tower Hamlets, London","IRR 7,760,936",8.8,Fabulous,"7,954 reviews",Beds: 1 double or 2 singles,,8.5,Superior King or Twin Room,1 night, 2 adults,Free cancellation
The J Hyde Park,"Westminster Borough, London","IRR 4,571,897",7.1,Good,"1,056 reviews",1 double bed,,4.4,Superior Double Room,1 night, 2 adults,
"The May Fair, A Radisson Collection Hotel, Mayfair London","Westminster Borough, London","IRR 16,415,555",8.1,Very good,"5,226 reviews",Beds: 1 double or 2 singles,,1.1,Collection Superior Room,1 night, 2 adults,Free cancellation
Piccolino Hyde Park Hotel,"Westminster Borough, London","IRR 3,598,252",6.7,Review score,"1,681 reviews",2 single beds,,3.2,Standard Twin Room,1 night, 2 adults,
Park Avenue Inn Craven London Hyde Park,"Westminster Borough, London","IRR 3,344,258",4.7,Review score,"3,987 reviews",1 double bed,,3.6,Double Room,1 night, 2 adults,
Sonder The Gilbert,"Kensington and Chelsea, London","IRR 3,884,701",8.1,Very good,130 reviews,1 double bed,,4.4,Double Room,1 night, 2 adults,
Umbrella Properties London Excel,"Newham, London","IRR 1,552,187",7.3,Good,441 reviews,1 extra-large double bed,,9.5,Double Room,1 night, 2 adults,
Park Grand Paddington Court,"Westminster Borough, London","IRR 5,557,300",7,Good,"7,541 reviews",1 double bed,,3.7,Deluxe Double Room,1 night, 2 adults,
ARK Canary Wharf,"Tower Hamlets, London","IRR 5,173,957",7.3,Good,"2,348 reviews",1 double bed,16m²,7.9,Classic Studio,1 night, 2 adults,
Nobu Hotel London Portman Square,"Westminster Borough, London","IRR 19,237,714",8.6,Fabulous,"1,686 reviews",1 extra-large double bed,,2.3,Superior King Room,1 night, 2 adults,
Ivy House Hotel,"Westminster Borough, London","IRR 3,047,931",6.1,Review score,998 reviews,1 double bed,,2.1,Double Room with Shared Bathroom,1 night, 2 adults,
ME London by Melia - Covent Garden,"Westminster Borough, London","IRR 16,180,846",8.5,Very good,"1,639 reviews",1 extra-large double bed,,0.8,Always ME,1 night, 2 adults,
Royal Lancaster London,"Westminster Borough, London","IRR 19,237,714",9,Superb,"5,791 reviews",Beds: 1 double or 2 singles,,3.3,Classic Room,1 night, 2 adults,
Leonardo Royal London St Paul’s,"City of London, London","IRR 12,182,317",8.6,Fabulous,"11,086 reviews",1 extra-large double bed,,2.1,Superior King Room,1 night, 2 adults,
"Signature London, The J Marylebone","Westminster Borough, London","IRR 7,196,504",8.1,Very good,"1,379 reviews",1 double bed,,2.9,Standard Double Room,1 night, 2 adults,
Jumeirah Lowndes London,"Kensington and Chelsea, London","IRR 17,836,042",8,Very good,521 reviews,Beds: 1 double or 2 singles,,2.3,Superior Double Room,1 night, 2 adults,
Gem Langham Court Hotel,"Westminster Borough, London","IRR 8,257,636",7.1,Good,"3,154 reviews",1 double bed,,1.6,Double Room,1 night, 2 adults,
LUXE HILL GETAWAY,"Muswell Hill, London","IRR 5,997,087",8.2,Very good,152 reviews,1 double bed,,10.8,Deluxe Double Room with Balcony,1 night, 2 adults,Free cancellation
Tony's House Hotel,"Westminster Borough, London","IRR 6,443,929",6.1,Review score,"1,491 reviews","2 beds (1 single, 1 double)",,3.3,Family Room (3 Adults),1 night, 2 adults,
Tran UK Homestay,"Newham, London","IRR 2,972,674",6.2,Review score,17 reviews,1 double bed,,9.9,Double Room,1 night, 2 adults,
"Stylish Studio Apartments, Willesden","Brent, London","IRR 3,774,637",6.9,Review score,16 reviews,1 double bed,30m²,9.9,Deluxe Studio,1 night, 2 adults,
Royal London Apartments,"Islington, London","IRR 7,525,756",7.9,Good,214 reviews,"3 beds (2 doubles, 1 sofa bed)",60m²,2.2,Two-Bedroom Apartment,1 night, 2 adults,
Jubilee Rooms 15 Minutes Central London,"Brent, London","IRR 4,233,238",7.6,Good,11 reviews,"2 beds (1 single, 1 double)",,8.2,Comfort Triple Room,1 night, 2 adults,
Centra Studios,London,"IRR 4,780,736",8.9,Fabulous,299 reviews,1 double bed,25m²,9.7,King Studio,1 night, 2 adults,
Modern Appartment,"Hackney, London","IRR 3,598,252",7.9,Good,35 reviews,1 double bed,,6.1,Double Room with Garden View,1 night, 2 adults,
Britannia International Hotel Canary Wharf,"Tower Hamlets, London","IRR 3,245,482",5.7,Review score,"20,899 reviews",1 double bed,,7.2,Standard Double Room without Window,1 night, 2 adults,Free cancellation
Hilton London Kensington Hotel,"Kensington and Chelsea, London","IRR 5,691,353",7,Good,"4,317 reviews",1 double bed,,6,Double Room,1 night, 2 adults,
London Court Hotel,"Kensington and Chelsea, London","IRR 3,762,878",8,Very good,"1,689 reviews",2 single beds,,4.9,"Classic Twin Room, with en suite",1 night, 2 adults,
Rockwell East-Tower Bridge,"Tower Hamlets, London","IRR 4,656,562",8.3,Very good,"3,060 reviews",1 large double bed,32m²,3.8,Double Studio,1 night, 2 adults,
The Grand M London city,"Tower Hamlets, London","IRR 2,351,799",7.6,Good,499 reviews,1 double bed,,4.1,Deluxe Double Room,1 night, 2 adults,
Canopy Aldgate,"Tower Hamlets, London","IRR 2,234,209",6.9,Review score,234 reviews,1 double bed,,4.1,Double Room with Shared Toilet,1 night, 2 adults,
The J Hyde Park,"Westminster Borough, London","IRR 4,571,897",7.1,Good,"1,056 reviews",1 double bed,,4.4,Superior Double Room,1 night, 2 adults,
"The May Fair, A Radisson Collection Hotel, Mayfair London","Westminster Borough, London","IRR 16,415,555",8.1,Very good,"5,226 reviews",Beds: 1 double or 2 singles,,1.1,Collection Superior Room,1 night, 2 adults,Free cancellation
Piccolino Hyde Park Hotel,"Westminster Borough, London","IRR 3,598,252",6.7,Review score,"1,681 reviews",2 single beds,,3.2,Standard Twin Room,1 night, 2 adults,
Park Avenue Inn Craven London Hyde Park,"Westminster Borough, London","IRR 3,344,258",4.7,Review score,"3,987 reviews",1 double bed,,3.6,Double Room,1 night, 2 adults,
Sonder The Gilbert,"Kensington and Chelsea, London","IRR 3,884,701",8.1,Very good,130 reviews,1 double bed,,4.4,Double Room,1 night, 2 adults,
Umbrella Properties London Excel,"Newham, London","IRR 1,552,187",7.3,Good,441 reviews,1 extra-large double bed,,9.5,Double Room,1 night, 2 adults,
Park Grand Paddington Court,"Westminster Borough, London","IRR 5,557,300",7,Good,"7,541 reviews",1 double bed,,3.7,Deluxe Double Room,1 night, 2 adults,
ARK Canary Wharf,"Tower Hamlets, London","IRR 5,173,957",7.3,Good,"2,348 reviews",1 double bed,16m²,7.9,Classic Studio,1 night, 2 adults,
Nobu Hotel London Portman Square,"Westminster Borough, London","IRR 19,237,714",8.6,Fabulous,"1,686 reviews",1 extra-large double bed,,2.3,Superior King Room,1 night, 2 adults,
Ivy House Hotel,"Westminster Borough, London","IRR 3,047,931",6.1,Review score,998 reviews,1 double bed,,2.1,Double Room with Shared Bathroom,1 night, 2 adults,
Hotel Palace Berlin,"Charlottenburg-Wilmersdorf, Berlin","IRR 7,358,831",8.8,Fabulous,"3,852 reviews",1 extra-large double bed,,2.8,Business Double Room,1 night, 2 adults,Free cancellation
Hotel Amelie Berlin,"Mitte, Berlin","IRR 5,006,007",6.3,Review score,"1,492 reviews",1 double bed,,0.9,Double Room,1 night, 2 adults,
Hotel Bleibtreu Berlin by Golden Tulip,"Charlottenburg-Wilmersdorf, Berlin","IRR 3,029,636",7.8,Good,"1,115 reviews",1 double bed,,4.3,Standard Queen Room,1 night, 2 adults,
TITANIC Comfort Mitte,"Mitte, Berlin","IRR 4,731,678",7.8,Good,"9,406 reviews",1 double bed,,2,Standard Double Room,1 night, 2 adults,Free cancellation
Axel TWO Berlin - Adults Only,"Charlottenburg-Wilmersdorf, Berlin","IRR 3,732,479",8,Very good,"3,910 reviews",1 double bed,,4.3,City Double Room,1 night, 2 adults,
Upper Room Hotel Kurfürstendamm,"Charlottenburg-Wilmersdorf, Berlin","IRR 3,003,604",7.1,Good,"7,451 reviews",Beds: 1 double or 2 singles,,3.2,Standard Double Room,1 night, 2 adults,
ibis budget Berlin Alexanderplatz,"Friedrichshain-Kreuzberg, Berlin","IRR 3,964,758",7.6,Good,"5,527 reviews",2 single beds,,3.2,Twin Room,1 night, 2 adults,
ibis budget Berlin Kurfürstendamm,"Tempelhof-Schöneberg, Berlin","IRR 3,742,491",7.6,Good,"5,914 reviews",1 double bed,,2.6,Standard Double Room,1 night, 2 adults,
ibis Berlin Kurfuerstendamm,"Tempelhof-Schöneberg, Berlin","IRR 3,964,758",8,Very good,"4,711 reviews",1 double bed,,2.7,Double Room,1 night, 2 adults,
Potsdamer Inn,"Tempelhof-Schöneberg, Berlin","IRR 2,563,076",5,Review score,"2,489 reviews",1 large double bed,,2.4,Double Room,1 night, 2 adults,
Ibis budget Berlin Potsdamer Platz,"Friedrichshain-Kreuzberg, Berlin","IRR 4,365,238",7.5,Good,"13,230 reviews","2 beds (1 double, 1 bunk bed)",,1.4,Double Room,1 night, 2 adults,Free cancellation
Alper Hotel am Potsdamer Platz,"Mitte, Berlin","IRR 3,203,845",5.2,Review score,"1,740 reviews",2 single beds,,1.6,Twin Room,1 night, 2 adults,
Hotel Orion Berlin,"Charlottenburg-Wilmersdorf, Berlin","IRR 2,803,364",6.9,Review score,"1,438 reviews",1 large double bed,,5.2,Double Room,1 night, 2 adults,
Hotel Gat Point Charlie,"Mitte, Berlin","IRR 4,004,806",8.1,Very good,"7,409 reviews",Beds: 1 double or 2 singles,,1.1,Standard Double Room,1 night, 2 adults,
City Pension Berlin,"Charlottenburg-Wilmersdorf, Berlin","IRR 2,739,287",7.2,Good,"1,894 reviews",Beds: 1 double or 2 singles,,5.1,Double Room with Private Shower and Shared Toilet,1 night, 2 adults,
Hotelpension Margrit,"Charlottenburg-Wilmersdorf, Berlin","IRR 2,723,268",6.9,Review score,"3,078 reviews",2 single beds,,5.1,Double or Twin Room,1 night, 2 adults,
Hotel Pension Xantener Eck,"Charlottenburg-Wilmersdorf, Berlin","IRR 2,763,316",6.9,Review score,"1,167 reviews",Beds: 1 double or 2 singles,,5.1,Double Room,1 night, 2 adults,
TITANIC Comfort Kurfürstendamm,"Tempelhof-Schöneberg, Berlin","IRR 4,731,678",8.1,Very good,"5,478 reviews",1 large double bed,,2.6,Standard King Room,1 night, 2 adults,Free cancellation
Hotel Am Stuttgarter Eck,"Charlottenburg-Wilmersdorf, Berlin","IRR 2,202,643",5.6,Review score,"1,097 reviews",Beds: 1 double or 2 singles,,5.2,Double Room with Shower and Shared Toilet,1 night, 2 adults,
Hotel BELLEVUE am Kurfürstendamm,"Charlottenburg-Wilmersdorf, Berlin","IRR 2,963,556",6.6,Review score,865 reviews,1 large double bed,,4.4,Double or Twin Room,1 night, 2 adults,
Apple City Hotel,"Mitte, Berlin","IRR 3,163,797",6.9,Review score,"2,319 reviews",Beds: 1 double or 2 singles,,2.7,Double or Twin Room,1 night, 2 adults,
Hotel Atrium Charlottenburg,"Charlottenburg-Wilmersdorf, Berlin","IRR 2,803,364",6.7,Review score,"1,601 reviews",Beds: 1 double or 2 singles,,5.2,Double or Twin Room,1 night, 2 adults,
Hotel Europa City,"Charlottenburg-Wilmersdorf, Berlin","IRR 2,883,460",6.5,Review score,"3,316 reviews",2 single beds,,4.8,Double or Twin Room,1 night, 2 adults,
Hotel Alex Berlin,"Prenzlauer Berg, Berlin","IRR 3,013,216",7.8,Good,956 reviews,1 large double bed,,3.5,Standard Double Room,1 night, 2 adults,
Hotel Palace Berlin,"Charlottenburg-Wilmersdorf, Berlin","IRR 7,358,831",8.8,Fabulous,"3,852 reviews",1 extra-large double bed,,2.8,Business Double Room,1 night, 2 adults,Free cancellation
Hotel Amelie Berlin,"Mitte, Berlin","IRR 5,006,007",6.3,Review score,"1,492 reviews",1 double bed,,0.9,Double Room,1 night, 2 adults,
"Hotel Berlin, Berlin, a member of Radisson Individuals","Mitte, Berlin","IRR 6,686,023",8,Very good,"15,446 reviews",1 large double bed,,2.1,Cosy Small Room,1 night, 2 adults,Free cancellation
Scandic Berlin Potsdamer Platz,"Mitte, Berlin","IRR 5,967,161",8.2,Very good,"14,579 reviews",2 single beds,,1.3,Twin Room,1 night, 2 adults,Free cancellation
TITANIC Comfort Kurfürstendamm,"Tempelhof-Schöneberg, Berlin","IRR 4,731,678",8.1,Very good,"5,478 reviews",1 large double bed,,2.6,Standard King Room,1 night, 2 adults,Free cancellation
Hotel Palace Berlin,"Charlottenburg-Wilmersdorf, Berlin","IRR 7,358,831",8.8,Fabulous,"3,852 reviews",1 extra-large double bed,,2.8,Business Double Room,1 night, 2 adults,Free cancellation
Hotel Bleibtreu Berlin by Golden Tulip,"Charlottenburg-Wilmersdorf, Berlin","IRR 3,029,636",7.8,Good,"1,115 reviews",1 double bed,,4.3,Standard Queen Room,1 night, 2 adults,
TITANIC Comfort Mitte,"Mitte, Berlin","IRR 4,731,678",7.8,Good,"9,406 reviews",1 double bed,,2,Standard Double Room,1 night, 2 adults,Free cancellation
"Hotel Berlin, Berlin, a member of Radisson Individuals","Mitte, Berlin","IRR 6,686,023",8,Very good,"15,446 reviews",1 large double bed,,2.1,Cosy Small Room,1 night, 2 adults,Free cancellation
Axel TWO Berlin - Adults Only,"Charlottenburg-Wilmersdorf, Berlin","IRR 3,732,479",8,Very good,"3,910 reviews",1 double bed,,4.3,City Double Room,1 night, 2 adults,
Upper Room Hotel Kurfürstendamm,"Charlottenburg-Wilmersdorf, Berlin","IRR 3,003,604",7.1,Good,"7,451 reviews",Beds: 1 double or 2 singles,,3.2,Standard Double Room,1 night, 2 adults,
ibis budget Berlin Alexanderplatz,"Friedrichshain-Kreuzberg, Berlin","IRR 3,964,758",7.6,Good,"5,527 reviews",2 single beds,,3.2,Twin Room,1 night, 2 adults,
ibis budget Berlin Kurfürstendamm,"Tempelhof-Schöneberg, Berlin","IRR 3,742,491",7.6,Good,"5,914 reviews",1 double bed,,2.6,Standard Double Room,1 night, 2 adults,
ibis Berlin Kurfuerstendamm,"Tempelhof-Schöneberg, Berlin","IRR 3,964,758",8,Very good,"4,711 reviews",1 double bed,,2.7,Double Room,1 night, 2 adults,
